papers,HYPOTHESIS
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/016a66c182442bf672c85a13339ce723e2655f59.summary'],Does ATF4-mediated suppression of RTA promoter activity during ER stress also lead to the upregulation of antiviral interferon-stimulated genes in infected B cells?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/473bb2ab0cd82423964c377586e68cf61499f8d9.summary'],Can the combination of CD19-targeted butyrophilin heterodimer with a gamma-delta T cell-specific checkpoint inhibitor enhance the anti-tumor response and reduce peripheral B cell depletion in B-cell lymphoma treatment?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/29d16b34223bcd51052e226c0eee2462cb127674.summary'],"Does the MEK-ERK pathway activated by BPF also regulate the expression of pro-survival genes, such as BCL-2, in K562 cells, and if so, is this regulation ROS-independent?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/800c7f1e4021189dbfced709ca624e5e015d0f2b.summary'],Can the combination of BDB001 and CPI-006 enhance the anti-tumor immunity of tumor-infiltrating lymphocytes and simultaneously provide protection against SARS-CoV-2 infection in patients with epithelial cancer?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/09ce35978258dedcc7ae89e8161adca7e5c6d84f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/de3e57b0a59c9e41c3aef20bb4fd193dbe3c356f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e23d070e22031919f37cf510fe06de4c5319c173.summary']","Does the dysregulation of TLR7 signaling in B cells of CVID patients contribute to impaired germinal center reactions and subsequent defects in B cell maturation and differentiation, leading to increased susceptibility to interstitial lung disease?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/03c00b166ccd67618d2660770f1d270a448c995d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c2e88e47c0601b226ec7aa45e2a6f813d7005820.summary']",Can flow cytometric analysis of lymphocyte differentiation and function in neonatal mice immunized with the LAMP-1/p55Gag DNA vaccine identify novel biomarkers for the prediction of long-term humoral and cellular responses to HIV-1?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5320bd2a08abe933de870675fd4a2f4e426a5b33.summary'],Does the novel truncated IKZF1 transcript also contribute to the development of resistance to chemotherapy in B-cell acute lymphoblastic leukemia by altering the expression of DNA repair genes?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/349f49358f423ee71bfb0f461fc3928307e25f19.summary'],"Do IGHV1-69 clones exhibit increased resistance to chemotherapy-induced apoptosis due to their distinct gene expression profile, leading to a higher likelihood of relapse in CLL patients?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b3750eca3936a2bf99156c571c976a66ec84224c.summary'],"Do hypomorphic mutations in the BCR signalosome genes also affect the production of IgA and IgG antibodies, leading to a broader impairment of humoral immunity in patients with selective IgM deficiency?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0b41d43cc5bec67f42e5d940705234d76351ee50.summary'],"Can the aRP105-TM vector also enhance the activation of CD4+ T cells, leading to an increased production of cytokines that promote a more robust immune response against influenza?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/a2831a6be007b5aa177a2799bed89f818c4fa003.summary'],Does the dysregulation of oligodendrocyte-specific iron metabolism contribute to the development of B cell phenotypes in multiple sclerosis lesions?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e13f606f8eb825354364cc62bfa76621eab2a82f.summary'],Does the presence of IgM+CD27+ B cells influence the expansion dynamics of IgG+ MBC with high affinity BCRs in response to vaccination?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/696ca7b38d7b8997fab5bf5a491c3d07822455eb.summary'],Can engineered antibodies targeting gluten peptide-presenting cells in the gut also modulate the gut microbiome to prevent T-cell activation and inflammation in celiac disease patients?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3de05d983ebb2411d14f1f32f4321b2635b3be12.summary'],"Does lactic acidosis-induced impairment of T cell killing activity also lead to the upregulation of immune checkpoint molecules on T cells, thereby further suppressing anti-tumor immune responses?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/758bf756678baf8be8849b2c917a98e2e7dde956.summary'],Does GNG4-mediated regulation of memory B cells influence the tumor microenvironment to promote osteosarcoma progression and metastasis?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c8506b98accbb5b6469b1371bd368cc7426cfc11.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/172551042c2c4bfe8ba09f4676a010a2d4fc5443.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f80f893a8d4f4454f2cc9507e8ad73c56f540a22.summary']","Does the CD40-OX40L axis on mesenchymal cells regulate NOTCH2-BCR signaling in B cells, thereby influencing the development of chronic graft-versus-host disease in hematopoietic stem cell transplantation?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7bb1dcd69bbeae8b733459801db1c7ee77f6089c.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3efc769486603f2f55b40a26bb44a0e7331b09eb.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4670dc5c9aac7c0d29fb32af1b632ad88cc15b6a.summary']","Does the integration of BAFF, TLR, and RGC-32 signals in atypical B cells promote the production of VH4-34 autoantibodies, contributing to the development of autoimmune responses in SLE patients?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/82a8a8a7872caf0c4e1b8a62e0d29e367bbd34b2.summary'],"Does the absence of Arg lead to altered expression of chemokine receptors on B-cells, resulting in impaired homing to lymphoid organs and subsequent reduction in spleen B-cell numbers?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/002acdacade1affbf356b9e723fe308c74ab16a9.summary'],"Does the GSK3β/β-catenin/c-Myc signaling pathway in tumor-associated macrophages also regulate the expression of ENO2 in exosomes derived from other types of cancer cells, contributing to their immune evasion and progression?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0ee2066405bf13a4bf9f9daf226b0871cda3ae88.summary'],Does the combination of AZP-3404 and Canagliflozin have a synergistic effect on improving insulin sensitivity and reducing inflammation in humans with type 2 diabetes compared to either treatment alone?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/707ce971f1658f2c3af95459b069adaf1dbea4ba.summary'],Does the presence of specific somatic hypermutation patterns in antibody lineages influence the development of neutralizing antibodies against specific epitopes?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/08d383231f87facccf2e4ada3cad8e53003290ee.summary'],Can the combination of ibrutinib and venetoclax modulate the microenvironment in CLL to prevent the activation of bypass pathways and thereby delay the development of resistance to targeted therapies?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4f6689804317633b193caabfe018ffb2bf838114.summary'],"Does the endocannabinoid system, specifically 2-AG, modulate the expression of CXCL12 in lymphoma cells, thereby creating a self-reinforcing loop that enhances lymphoma cell migration and homing?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7932b566fce6f3f95e80457e025ec65f75666ef4.summary'],Do specific lipid compositions in the plasma membrane of B cells influence the formation of ordered phase-like domains and subsequent signaling responses upon engagement with bilayer-presented ligands or cross-linkers?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/340a5dc7f6d507c40ec3399dec52a203c5f40f5f.summary'],"Does the temporary downregulation of kindlin-2 and talin-1 in RASF after IL-1β stimulation also lead to altered expression of other focal adhesion proteins, such as paxillin and vinculin, which in turn contribute to the pathogenesis of rheumatoid arthritis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/05b2705022375b78fa76378b4d74387c5291cd43.summary'],Does PTEN-mediated suppression of antibody responses during viral infections also lead to increased susceptibility to secondary bacterial infections?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/009b0d32990b0f60292dc0bf20c940d2f037b515.summary'],"Can the combination of CLN-049 with checkpoint inhibitors enhance T cell-mediated cytotoxicity against FLT3-expressing AML and B-ALL cells, leading to improved treatment outcomes in patients with minimal residual disease?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/be5c68c49f11626329d61e858b87771bfe63eef7.summary'],"Does the synergistic BCR/TLR4 signaling on B cells also regulate the production of other chemokines, such as CXCL1, that contribute to neutrophil extravasation and lung injury during ischemia/reperfusion?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7d16213572581ab56a96591615c98656d613124f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/fbaa49a24f645b4fecff2bf4f5da9cef41a01b5a.summary']","Do alterations in the immune system, specifically in the NK cell compartment, following severe COVID-19 infection increase the susceptibility to MIS-C in children?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/21364863f247a51d71aa8d692bca52221913d152.summary'],"Does siponimod's neuroprotective effect in secondary progressive multiple sclerosis patients involve the modulation of microglial activation and subsequent reduction of pro-inflammatory cytokine release, thereby contributing to the observed reduction in disability progression?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0585bdb6230e873b33cf01b15c8841eef578f9f2.summary'],Does the spatial organization of hypermutation hotspots in immunoglobulin genes influence the evolution of antibody specificity by favoring the selection of mutations that alter epitope recognition?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/273f174305da1b50815ee5c5260b7401a2fc968a.summary'],Can the conjugation of indocyanine green with a monoclonal antibody targeting a specific tumor-associated antigen on cancer cells enhance the accuracy of sentinel lymph node imaging in other types of cancer beyond breast cancer?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8dee3397d5b0d6ff5900ae6e855d053cffbb095f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/025a7983132d724a0bb8e949311f8b3063b09619.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8e1c7f8fc0cf6afa33a52493bfc70652fd36c099.summary']","Can AU-007, in combination with Granzyme B PET imaging, selectively activate naïve B cells in the tumor microenvironment to enhance anti-tumor immunity and improve treatment outcomes in cancer patients?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/008ab2aca88f98b5ab893e1e657f1417508c0da7.summary'],"Does the reduction of T regulatory cells by ibrutinib therapy also lead to an increase in the production of anti-tumor cytokines, such as IL-2 and IFN-γ, by CD4+ and CD8+ T cells in CLL patients?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1530a6a65e5c8c97b20293f20b4c41d071f70bc4.summary'],"Does the duration of macrophage hypophagia inversely correlate with the expression of autophagy-related genes, leading to a potential therapeutic target for enhancing ADCP-mediated cell clearance?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/43fa74b0ff717e0d1bf476e9c1e4105e72df71bd.summary'],"Can simultaneous inhibition of EGFR and TGFb signaling by BCA101 also enhance the expression of tumor-specific neoantigens, leading to increased recognition and killing of cancer cells by cytotoxic T cells?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/20cac268ea8bb2e827028aa38a2fcb56b8331244.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1095efa0361fecfa93e3a991cee24203db479971.summary']","Does the interaction between SLPI and Nlrp9b regulate the production of oxMIF, leading to a distinct immune response in IBD patients with high visceral fat area?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9d53f9963535aca34de7ca98bf33c27d1111c51f.summary'],"Does miR-139-5p regulate the expression of genes involved in DNA repair pathways in hematopoietic stem cells, thereby modulating their susceptibility to leukemogenic mutations?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/091852331a1510b8dd0a6dde6ddd84886e545267.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3bc96c4fc22b2184a81b956cabe6af4085defab1.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4d8f417daabce66866691a952846a1aca2cadfe0.summary']","Does the interaction between Par-4 and hexokinases regulate B-cell receptor signaling and glucose metabolism to modulate the TLR9-dependent checkpoint in B cells, thereby influencing the development of autoimmune diseases?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5425bb7efdc208cc1028f49acddbe11ec0e00f63.summary'],"Does the presence of AID-experienced cells in l-MYC tumors influence the expression of specific microRNAs that regulate the germinal center reaction, thereby contributing to the development of mature B cell lymphoma?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/13fec24ec05e81b641870a2d3268cf3e23c9ffce.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/dd98fa845ef19bcfa2533cc95aba0fd6bf1146a2.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e4516667ba7470fd7cd609aafc817209637d9b82.summary']","Does the coordinated upregulation of TPD52L2 and lncRNA ZFHX4-AS1 in clear cell renal cell carcinoma and ovarian cancer, respectively, converge on a common immune microenvironmental signature that can be modulated by Cadherin 11 to enhance anti-tumor immune responses?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d77a416af1d9d1df1591b05286460522273119a3.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/01334d7e7f78e22fe9865768d7442ec7eb20630b.summary']","Does NOTCH1 Val1744 expression modulate the B-cell receptor signaling pathway, thereby influencing the development and progression of pulmonary arterial hypertension in cancer patients?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/20d6d643d13eba3e272562e356dd648386d3538a.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2407921d7caaa915979e328027b49f6fc0d0afbf.summary']",Can the combination of CAR-T cell therapy and TTFields enhance the penetration of CAR-T cells across the blood-brain barrier and improve treatment outcomes in patients with secondary central nervous system lymphoma?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f5e0a7dc1693cdf7f4dec5be6ecdda336b32d696.summary'],Does the regulation of mitochondrial function by immunoglobulin expression in the endoplasmic reticulum also influence the unfolded protein response and endoplasmic reticulum stress in B cells?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/344766c6713fe174529ad467db3e04f084f1cbc4.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/61d62d0b8eb3d052ce32b1b56d12e01470611942.summary']",Does the simultaneous inhibition of PI3K signaling and restoration of PTEN expression in CLL cells lead to a synergistic reduction in AKT protein kinase activity and subsequent apoptosis?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0e810283d6a002b25954490974f0193464c12e62.summary'],Can the 14-gene signature be used to predict the efficacy of combination therapy with immunotherapy and targeted therapies in DLBCL patients?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/a1f4532061b4a41b8576bf023f179c3216db48dd.summary'],Does the altered cytoskeletal dynamics induced by BCR-ABL1 in Drosophila eye cells also affect the migration and homing of hematopoietic stem cells in the Drosophila model of CML?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0afa680805a978ea006c571f2a9ad7c165de9c8a.summary'],"Can the stabilization of G-quadruplex structures in the promoter regions of other oncogenes, beyond CARD11, also be exploited as a therapeutic strategy for treating various types of cancer by targeting them with small molecules?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/27f4792416be364ef3895b895e7666517c03cd96.summary'],"Does the upregulation of MhcII expression in response to pathogen infection in flounder also enhance the cross-presentation of antigens to CD8+ T-cells, leading to a more effective cell-mediated immune response?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3269bafca5158cfbbf6b9d4519bc9842b3b6466f.summary'],Does the biased IGHV gene usage and stereotypy in the Traf2DNxBCL2-tg mouse model influence the efficacy of antigen-specific immunotherapy in CLL/SLL treatment?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ec29d67642ec8f8761033e27b2f1e83900e26018.summary'],"Does the SLC1A1-mediated regulation of redox homeostasis during B cell activation also influence the expression of co-receptor signaling networks, thereby modulating the specificity of B cell responses to antigens?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/cf40eaa33cdaad298ffeb91a7a477b03a1438eb5.summary'],"Does the reduction of immunoglobulin levels after B-cell depletion using rituximab in ME/CFS patients lead to a compensatory increase in BAFF production, thereby perpetuating the activated B-lymphocyte system and contributing to the persistence of ME/CFS symptoms?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ebd6eb24f8f2093b06b418d888c9d0f994050ede.summary'],"Does the dysregulation of lncRNA-mediated immune responses in BAFF-R-deficient mice infected with Pneumocystis also lead to changes in the gut microbiome, which in turn exacerbate the severity of Pneumocystis pneumonia?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c0c0c6c89f91226ceb44d8549ad5c51ec066dcb7.summary'],"Does the ubiquitination of MYD88 L265P by RNF138 also regulate the activity of other transcription factors beyond NF-kB, contributing to the development and progression of B-cell malignancies?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1a75c56cd26a7d3131f88732903f0fe6b8edcf5d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ce7e9d567e142e7c903b3782e59cdd9bc7cafc6f.summary']",Does the combined inhibition of the BAFF system and LAG3 signaling pathways synergistically prevent the development of chronic allograft damage and antibody-mediated rejection in kidney transplant recipients?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/03f8ddc1868d0a8c9ec1f2bbfcdb5136fb126394.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d5f1fb2b1bd88ace2357a1130f9391fa8e2e00b7.summary']","Do tumor-infiltrating B cells with less mature and less specific BCR repertoires exhibit altered V(D)J segment usage and CDR3 length compared to circulating B cells, and is this associated with an interferon signature in the tumor microenvironment?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/bf16c5d806971ddb905a69fa3ff27734cecd0d66.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e70598afe28398dce0dce3f99e21a0394fa0e84d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/edac28d03a77172dff303e2bc0bab1f4e9ad3e64.summary']","Does the modulation of JAK/STAT signalling in CD209+/CD14+ dendritic cells affect the frequency and function of regulatory B cells in rheumatoid arthritis patients, leading to changes in IL-6 signalling and inflammation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c11ccaa98e31f4395d98c77e120362b7316c73e1.summary'],"Do RTEs from RA and PsA patients exhibit altered DNA methylation patterns in genes involved in T cell development and tolerance, contributing to their activated phenotype and autoreactive potential?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/721a4583fe1864a31c7a1f60be01cf8c34b411f4.summary'],"Does the coordinated activity of DOCK2 and p110d regulate the expression of CXCR5 on B cells, thereby modulating their migration to CXCL13?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3135b7a687316c3f2deb6b644f93939702a15632.summary'],"Can CD38-targeted imaging agents be used to predict the optimal timing of daratumumab therapy in multiple myeloma patients, thereby maximizing treatment efficacy and minimizing off-target toxicities?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/dd66ecf0f7d1448efc806758bbe781df69da26d2.summary'],Does the MALT1-mediated cleavage of HOIL-1 regulate the expression of specific microRNAs that fine-tune NF-κB signaling and immune responses in lymphocytes?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e4513674be79e1860b4e93d187f3f57604a7a8b8.summary'],"Can the consumption of cow's milk-derived exosomal microRNAs also induce epigenetic changes in T cells, leading to an increased risk of autoimmune diseases such as rheumatoid arthritis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c32e84c03ea240bacd7ed922da3a9ca9920128e7.summary'],"Does the conformational change induced by ppITAM binding to SYK also influence the binding affinity of LYN, thereby modulating the full activation of SYK?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b8464e22fbf3177d91df0cb6ae3a0b6069c22b29.summary'],Does the combination of rituximab with an IGF-1R inhibitor enhance the therapeutic effect of rituximab in treating thyroid-associated ophthalmopathy by further reducing orbital tissue inflammation and expansion?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1b7ded56b0a447e34b7a059738a59d8ab9bd2914.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8afd881f01412a6148e65c67278cfbdf713d0dbc.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/05c465fccfa8d714e24d324e3e2c344e86871293.summary']","Can the cell-type specific targeting of ligand-receptor interactions in CD14 monocytes modulate the T-cell receptor and B-cell receptor repertoires in juvenile idiopathic arthritis patients, leading to improved treatment outcomes?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/94d2d2855ddecdcf30eac04b68109f0fdc637a1e.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/57e52ae1dacf7b7cc2c4b752be6b6011dd2a28e4.summary']","Do high-affinity insulin-reactive B cells in VH125.NOD mice exhibit altered antigen-presenting cell function, leading to enhanced activation of diabetogenic T cells and accelerated type 1 diabetes development?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7b445443362b84bfd1c8a1428cfba36d8eb91678.summary'],Can the incorporation of a protease-cleavable peptide sequence into the self-immolative linker enhance the selective release of budesonide in CD19-expressing cells while minimizing off-target effects?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0fdbd17f5e6a08fd43525448d66b76375655791c.summary'],"Does inhibition of eIF4GI activity, in addition to eIF4A, enhance the selective targeting of CLL cells while sparing normal B cells, leading to a more effective therapeutic strategy?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/a682dbf7af064601d285e2fbfe0bd09a9e066a43.summary'],Does the activation of PRRs on transitional B cells also induce the production of regulatory B cells that can mitigate autoimmune responses?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/66da0676a211a4169171ea1e24a13fbdb1c2d41d.summary'],Does simultaneous inhibition of ABCB1 and ABCG2 enhance the efficacy of asciminib by reducing the emergence of resistant BCR-ABL1+ subclones in patients with refractory CML or Ph+ ALL?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/51c11716f55085e785a79da143beb7ad7ec5802d.summary'],"Do specific non-BCR-associated markers influence the efficiency of V(D)J-recombination-driven checkpoints, leading to variations in B cell precursor development and selection?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1609818e19bb243ff0e05fa2e43d1be1893f28b9.summary'],"Does the up-regulation of Nod1 in response to BCR engagement by self-ligand also enhance the expression of other pattern recognition receptors, leading to a broader immune response against commensal bacteria?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6b952891ca7ee995ef11a4b0bc0f505228164d11.summary'],"Does the formation of mixed hexameric antibody complexes between CD20 and CD37 antibodies also enhance the activation of immune cells, such as natural killer cells, in addition to complement activation, leading to increased anti-tumor activity?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c24955926e30c9164db4f82863df0ea6faf8a225.summary'],"Does SOX11-mediated BCR signaling in B cells also regulate the expression of inhibitory receptors, such as PD-1, to modulate the immune response in mantle cell lymphoma?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8be7bb72af6d55851dc8b64b8d7eeec4949a01a0.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1cf248c26fbb84c073bf33f9054f008b1c8525d1.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/78ec2425e63ebbfb4c0a9502da60ac772173124f.summary']","Do MAIT cells play a role in the recall of preexisting cross-reactive B cell memory after SARS-CoV-2 breakthrough infection, and does their TNFhigh signature influence the breadth and durability of the resulting neutralizing antibody response?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c7669dd6bfbe43e9d88e039da8b30bda14026203.summary'],"Does the recruitment of phosphatases by CD25 also regulate the activity of other immune cell receptors, such as the T-cell receptor, to prevent excessive signaling and autoimmune responses?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/389b76d6089b76ef1fde44dd3c632d57cae28016.summary'],"Does deimination of specific proteins in serum-EVs of Bos taurus also play a role in regulating metabolic pathways, and if so, can it be exploited to improve cattle growth and productivity?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/13ab818c76b936e8977fe7eff7703faae14a065f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3a12cd7ef40e74382a1f934904d48c90b62420bc.summary']",Can the BAFF-APRIL system be used as a biomarker to predict the efficacy of cancer immunotherapy by analyzing its expression levels in tumor cells and immune cells using the DexterTM microfluidic platform?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c4a2076eed96c9640a63e652c750e0fce12c56e2.summary'],Can inhibition of miR-130b-3p in BMSCs enhance the efficacy of chemotherapy by promoting gap junctional intercellular communication and reducing the development of therapy-resistant subclones in BCR-ABL1-positive leukemia?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ef0f69586991db422a62b70035d3139462af531e.summary'],"Do specific combinations of FCER2, KHDRBS2, and IGSF9 expression levels in nasopharyngeal carcinoma cells predict the efficacy of immunotherapy in individual patients?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/67d9322177eb1bfb32a996e91543743658d02085.summary'],Does the synergistic combination of HPK1 inhibitors with existing immunotherapies enhance their anti-tumor efficacy by modulating the activity of hematopoietic progenitor cells in cancer microenvironments?
